text,percent
" : La Escuela Secundaria Técnica 1 ""Benito Juárez"" está haciendo un proyecto llamado #HonestidadEscolar
Les agradecería m…",0
" : Así fue el abrazo que le dio el argentino Sebastián Méndez al taxista Hortencio Martínez, luego de que este le devolviera un b…",0
"   Desmentir que??? Jajajajaja tú si eres gafo !!! Ya los gringos no hacen eso… ",0.4
" : —¿¡Qué haces pendejo!?
—Te estoy abriendo la puerta porque soy un caballero.
—¡Cierra la puerta, estoy cagando!
—Perdón p…",0.425
" : No es casual que recrudezcan enfermedades.El Ajuste de Macri llegó a Salud,Ciencia yTecnología.Del MALBRÁN se echaron má…",0
" : #saludencoma ASI ESTÁN LOS
HOSPITALES EN VENEZUELA
Porque los CHAVISTAS
se robaron los Reales
En el Algodonal en Caracas 
u…",0
"    Cual hpta legado dejé de ser pendeja y regalada dejé de s… ",0.85
"  Para simplón y mamarracho tú, troll cagón, incapaz de dar cara ni nombre y que te despac… ",0.775
"   Llegará el q alguien diga: “Es culpa de ella por haber nacido con totona.”",0
" : Este #Sábado y #domingo en Sabana Grande: muchas más actividades en desagravio a Armando Reverón. ¡Venezuela y su cultu…",0
"Arancha Cristo de El Hilo Rojo: Infancia y Arte en Juego va a desarrollar en Lega Integra una clase sobre la Luz, e… ",0
" ¡Super Fiscal es el más campeón! El problema es que están Súper Fiscal que no se deja quemar el desgrac… ",0
" que basto guevon vamos a probar trago de ricos ",0.85
" Desgraciado... Ya me dio harta hambre ",0.6
"#ProgramaDeDesarrollogerencial ofrecemos conocimientos para gerenciar y gestionar organizaciones, empresas y grupos… ",0
"Odio estas fechas",0.35
"Marico es como automático equivocarme, que arrechera",0.425
"Mi tlf está dem gafo estoy que lo desbarató contra el piso.",0.125
" : ¿Han visto ustedes alguna vez algún reportaje en televisión sobre los curas y religosos jesuitas acusado de abuso? Tiene…",0
" : La transformación de Capriles viene desde cuando recibió los 15 millones de dolares de Odebrecht, decidió no cobrar las ele…",0
" : girlkind merece una maldita empresa con presupuestos que apuesten por ellas",0.6
"Si tienes una entrevista de trabajo, es muy importante que sepas cómo responder adecuadamente a las preguntas más f… ",0
"No digo pues corruptos por todos lados.. con esta bella dama coincidí en un semáforo  y  maltrataba al señor al Sr.del carro vecino.",0
"Llevo casi un año con ansiedad gracias al bonito sistema educativo universitario. Gracias.",0
" :  ¡Hola!

️ Nuestra portada de este martes 15: 'El nueve, YA'   #portada #deporte https://t.co/…",0
" : Felicitamos al Dr. Luis Guillermo Loría, ingeniero de la UCR, quien marcó un hito histórico al ser el primer latinoameri…",0
" : Recibe presidente venezolano en Caracas a grupo de 500 médicos cubanos  vía ",0
" : Esta parte de mi vida se llama: siendo un estúpido.",0.7
" : Jaaa mi sueño es tener un vestido como ese negro y que me quede así ",0
"Hasta que un mmgvo me hizo notar que yo también soy batechicha, trimardito ",1
"Beber, virginidad, Totona JAJAJAJAJA ",0.875
" : Maestro! Maestra! 1de las + bellas palabras d nuestro idioma junto con: mamá, papá, hermano, amigo, abuelo, abuela. Quedan…",0
"QUE VIEJA DE MIERDAAAAA LA PROFESORA",0.95
" : Conocemos a tanta gente tan mierda en la vida, que cuando conocemos a alguien buena gente, uno la piensa como que ¿Nojoda…",0.425
"Le mandé dos fotos mías a mi novio, horrrrrribles haciendo caras y el muy desgraciado las puso de fondo jajajaja pakeeee",0.475
" Yo no se quien es mas descarado, ese desgraciado por decir eso o usted vicky por prestarle el micrófo… ",0.325
" :  Yo nunca le había sido infiel a mi pareja ‍️",0.125
"¿Ya están borracho, cabrones?",0.3
" En este lugar se originó el peligroso gen resistente a los antibióticos que se extiende por el mundo #Ciencia ",0
" : #TROPA El pueblo chavista son solo una cuerda de jalabolas mas interesados en sus miserables bolsas y bonos de hambre que e…",0.85
" : Bueno, lamentablemente estamos en macrisis, y con mi familia decidimos hacer las especialidades de mi vieja. El que quier…",0
"  Negro de mierda",1
"Gooooool carajo",0.175
" Es lo más cierto y real que te podrías decir tanto a ti misma, como al resto de la gente, ponerlo e… ",0
"No se dan una idea de cómo amo que se esté yendo todo bien a la mierda y que todos los pajeros salgan a la luz MIRA COMO NOS PONEMOS.",0
"  A mi el color no me molesta aclaro por las dudas estoy a favor pero ayer no fue esa la causa… ",0
"   Este mansito es guevon o se hace?Se aprobo la ley de financiamieto dejand… ",0.775
" : Ya las pagaras trimardito ",1
" : ¿Han visto ustedes alguna vez algún reportaje en televisión sobre los curas y religosos jesuitas acusado de abuso? Tiene…",0
" : Resulta insoportable ver a esta vieja de mierda entrevistada y dando clases de civismo y respeto a las personas...Sorry por m…",0.375
" :   Es gastar saliva a lo pendejo Apá, ya se propusieron muchas alternativas.. ir a el estadio no consu…",0
"Enero es mi mes de vacaciones de universidad, se viene febrero de primera fase privada, no se explicar mi emoción T… ",0
"Lunar no tengo y tetas tampoco jsjsjsjaja ",0.425
"   Jajajaja   pobre estupido",0.725
" : Acto en la Embajada de Venezuela en Argentina: “Estamos con Venezuela, su democracia y su pueblo” …",0
"""No quisiera parecer un bicho raro, me quedaré con el caftán."" ",0.375
"""toma consejos para que llegues a Viejo"" 

Un guevon dando su opinión.",0.55
" Tiene que chuparlo muy rico ese piero maza! Si hasta nombre degenerado tiene jajaj saludos crack!",0.925
" : La empresa privada no tiene por que acatar ese aumento porque si no de que coño estamos hablando? Maduro es presidente…",0.625
"Consumir marihuana altera el perfil genético del esperma -   ",0.2
"Colombia es el nuevo imperio Venezuela será colonia de Colombia como en la colonia como un departamento mas de la gran Colombia un pais sin futuro sin empresas sin medio de subsistencia para alimentar a su pueblo,arrastrado a Cuba y su tirania, sin ciencia sin tecnologia.",0
"  Ultraderechista y gay? Ahora q sigue un judío nazi?",0.125
